ENTRY	GENES	NAME
EC 2.3.2.6	[u'aat']	[u'LftR']
EC 2.3.3.1	[u'gltA']	[u'CisY']
EC 2.3.3.13	[u'leuA']	[u'Leu1']
EC 2.3.3.5	[u'prpC']	[u'PrpC']
EC 2.3.3.9	[u'glcB', u'aceB']	[u'MasZ', u'MasY']
EC 2.4.1.1	[u'malP', u'glgP']	[u'PhsM', u'PhsG']
EC 2.4.1.12	[u'bcsA']	[u'BcsA']
EC 2.4.1.129	[u'mrcB']	[u'PbpB']
EC 2.4.1.15	[u'otsA']	[u'OtsA']
EC 2.4.1.18	[u'glgB']	[u'GlgB']
EC 2.4.1.182	[u'lpxB']	[u'LpxB']
EC 2.4.1.21	[u'glgA']	[u'GlgA']
EC 2.4.1.227	[u'murG']	[u'MurG']
EC 2.4.1.25	[u'malQ']	[u'MalQ']
EC 2.4.1.7	[u'ycjM']	[u'SucP']
EC 2.4.2.1	[u'deoD']	[u'DeoD']
EC 2.4.2.10	[u'pyrE']	[u'PyrE']
EC 2.4.2.14	[u'purF']	[u'Pur1']
EC 2.4.2.17	[u'hisG']	[u'His1']
EC 2.4.2.18	[u'trpD']	[u'TrpGD']
EC 2.4.2.19	[u'nadC']	[u'NadC']
EC 2.4.2.21	[u'cobT']	[u'CobT']
EC 2.4.2.22	[u'gpt']	[u'XgpT']
EC 2.4.2.29	[u'tgt']	[u'Tgt']
EC 2.4.2.3	[u'udp']	[u'Udp']
EC 2.4.2.4	[u'deoA']	[u'TypH']
EC 2.4.2.43	[u'arnT']	[u'ArnT']
EC 2.4.2.52	[u'citG']	[u'CitG']
EC 2.4.2.53	[u'arnC']	[u'ArnC']
EC 2.4.2.7	[u'apt']	[u'Apt']
EC 2.4.2.8	[u'hpt']	[u'HprT']
EC 2.4.2.9	[u'upp']	[u'Upp']
EC 2.4.99.12	[u'waaA']	[u'KdtA']
EC 2.4.99.13	[u'waaA']	[u'KdtA']
EC 2.4.99.14	[u'waaA']	[u'KdtA']
EC 2.4.99.15	[u'waaA']	[u'KdtA']
