Protein	TU	Function	Evidence that supports the existence of the regulatory interaction
RpoD	glmZ[glmZp]	+	"[HIPP, IMP, RS-EPT-CBR, TIM]"
RpoD	glnA[glnAp1]	+	[TIM]
RpoD	glnALG[glnAp1]	+	[TIM]
RpoD	glnB[glnBp2]	+	[TIM]
RpoD	glnB[glnBp1]	+	[TIM]
RpoD	glnE[glnEp6]	+	[ICWHO]
RpoD	glnLG[glnLp]	+	[TIM]
RpoD	glnQ[glnQp]	+	[AIPP]
RpoD	gloA[gloAp]	+	[HIPP]
RpoD	gloB[gloBp5]	+	[ICWHO]
RpoD	glpABC[glpABCp]	+	[HIPP]
RpoD	glpD[glpDp]	+	[TIM]
RpoD	glpFKX[glpFp]	+	"[HIPP, TIM]"
RpoD	glpTQ[glpTQp]	+	[HIPP]
RpoD	glrK[glrKp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	gltA[gltAp1]	+	[TIM]
RpoD	gltBDF[gltBp]	+	"[HIPP, TIM]"
RpoD	gltI-sroC-gltJKL[gltIp1]	+	"[HIPP, IC]"
RpoD	gltP[gltPp6]	+	[ICWHO]
RpoD	gltS[gltSp3]	+	[ICWHO]
RpoD	gltX[gltXp3]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	gltX[gltXp2]	+	"[HIPP, TIM]"
RpoD	gltX[gltXp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	glyA[glyAp]	+	"[FP, HIPP, TIM, CV(FP/TIM)]"
RpoD	glyQS[glyQp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	glyW-cysT-leuZ[glyWp]	+	[HIPP]
RpoD	gmk[gmkp]	+	"[RS-EPT-CBR, TAS]"
RpoD	gnd[gndp]	+	"[RS-EPT-CBR, TIM]"
RpoD	gntK[gntKp]	+	[TIM]
RpoD	gntKU[gntKp]	+	[TIM]
RpoD	gntP[gntPp]	+	[TIM]
RpoD	gntR[gntRp2]	+	"[HIPP, TIM]"
RpoD	gntRKU[gntRp1]	+	[AIPP]
RpoD	gntT[gntTp1]	+	[TIM]
RpoD	gntX-nfuA[gntXp]	+	[AIPP]
RpoD	gpsA[gpsAp5]	+	[ICWHO]
RpoD	gpt[gptp]	+	[HIPP]
RpoD	grcA[yfiDp]	+	"[FP, HIPP, IMP, TIM, CV(FP/TIM)]"
RpoD	greA[greAp1]	+	[TIM]
RpoD	grxB[grxBp]	+	[AIPP]
RpoD	grxB[grxBp2]	+	[ICWHO]
RpoD	grxB[grxBp4]	+	[ICWHO]
RpoD	grxC[grxCp2]	+	[ICWHO]
RpoD	grxD[grxD]	+	[AIPP]
RpoD	gspAB[gspAp1]	+	"[HIPP, TIM]"
RpoD	gspAB[gspAp2]	+	"[HIPP, TIM]"
RpoD	gspCDEFGHIJKLMO[gspCp3]	+	"[HIPP, TIM]"
RpoD	gspCDEFGHIJKLMO[gspCp2]	+	"[HIPP, TIM]"
RpoD	guaBA[guaBp]	+	"[HIPP, TIM]"
RpoD	gyrA[gyrAp]	+	"[IMP, RS-EPT-CBR, TIM]"
RpoD	hchA[hchAp]	+	[TIM]
RpoD	hdeD[hdeDp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	hemA-prfA-prmC[hemAp1]	+	[TIM]
RpoD	hemB[hemBp7]	+	[ICWHO]
RpoD	hemF[hemFp]	+	[TIM]
RpoD	hemH[hemHp]	+	[TIM]
RpoD	hemN[hemNp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	hepA-rluA[hepAp]	+	"[AIPP, HIPP, TIM]"
RpoD	hflD-purB[hflDp]	+	[TIM]
RpoD	hfq-hflXKC[hfqp2]	+	"[HIPP, IDA, IEP, TIM]"
RpoD	hfq-hflXKC[hfqp3]	+	"[HIPP, IDA, RS-EPT-CBR, TIM]"
RpoD	hha[hhap6]	+	[ICWHO]
RpoD	hicAB[hicAp]	+	[TIM]
RpoD	higBA[higBp]	+	"[RS-EPT-CBR, TIM]"
RpoD	hinT-ycfL-lpoB-thiK-nagZ-ycfP[hinTp1]	+	[ICWHO]
RpoD	hinT-ycfL-lpoB-thiK-nagZ-ycfP[hinTp2]	+	[ICWHO]
RpoD	hinT-ycfL-lpoB-thiK-nagZ-ycfP[hinTp3]	+	[ICWHO]
RpoD	hipBA[hipBp]	+	[TIM]
RpoD	hisBHAFI[hisBp]	+	[TIM]
RpoD	hisJQMP[hisJp]	+	"[IEP, RS-EPT-CBR, TIM]"
RpoD	hisS[hisSp]	+	[TIM]
RpoD	hns[hnsp]	+	"[HTTIM, RS-EPT-CBR, TIM]"
RpoD	hokC[hokCp4]	+	[ICWHO]
RpoD	holE[holEp4]	+	[ICWHO]
RpoD	holE[holEp5]	+	[ICWHO]
RpoD	holE[holEp6]	+	[ICWHO]
RpoD	hpt[hptp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	hscBA-fdx-iscX[hscBp]	+	[TIM]
RpoD	hscC[hscCp5]	+	[ICWHO]
RpoD	hslJ[hslJp]	+	[TIM]
RpoD	hsrA[hsrAp4]	+	[ICWHO]
RpoD	htrE[htrEp5]	+	[ICWHO]
RpoD	htrL[yibBp8]	+	[ICWHO]
RpoD	htrL[yibBp9]	+	[ICWHO]
RpoD	hupB[hupBp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	hupB[hupBp3]	+	"[RS-EPT-CBR, TIM]"
RpoD	hybOABCDEFG[hybOp1]	+	"[HTTIM, HIPP, RS-EPT-CBR, TIM]"
RpoD	hycI[hycIp4]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	hypF[hypFp1]	+	[IDA]
RpoD	hypF[hypFp2]	+	[IDA]
RpoD	hypF[hypFp3]	+	[IDA]
RpoD	hypT[hypTp4]	+	[ICWHO]
RpoD	iadA[iadAp3]	+	[ICWHO]
RpoD	ibaG[ibaGp4]	+	[ICWHO]
RpoD	ibaG[ibaGp9]	+	[ICWHO]
RpoD	icd[icdAp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	icd[icdAp2]	+	[TIM]
RpoD	idi[idip4]	+	[ICWHO]
RpoD	idi[idip5]	+	[ICWHO]
RpoD	idi[idip7]	+	[ICWHO]
RpoD	idnK[idnKp]	+	[TIM]
RpoD	ileS-lspA-fkpB-ispH[ileSp1]	+	"[HIPP, TIM]"
RpoD	ileX[ileXp]	+	[HIPP]
RpoD	ilvC[ilvCp]	+	"[HIPP, IEP, IMP, TIM]"
RpoD	ilvIH[ilvIp3]	+	"[HIPP, TIM]"
RpoD	ilvIH[ilvIp4]	+	"[HIPP, TIM]"
RpoD	ilvIH[ilvIHp1]	+	"[HIPP, TASES, TIM]"
RpoD	ilvL[ilvLp1]	+	[TIM]
RpoD	ilvL[ilvLp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	ilvLXG_1G_2MEDA[ilvLp1]	+	[TIM]
RpoD	ilvLXG_1G_2MEDA[ilvLp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	inaA[inaAp]	+	[HIPP]
RpoD	infA[infAp2]	+	"[AIPP, TIM]"
RpoD	infA[infAp1]	+	"[AIPP, TIM]"
RpoD	infC-rpmI-rplT[infCp2]	+	"[AIPP, TIM]"
RpoD	insA-7[insAp13]	+	[ICWHO]
RpoD	insA-7[insAp14]	+	[ICWHO]
RpoD	insG[insGp6]	+	[ICWHO]
RpoD	insH-1[insHp5]	+	[ICWHO]
RpoD	insH-11[insHp3]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	insH-11[insHp4]	+	[ICWHO]
RpoD	insH-2[insHp4]	+	[ICWHO]
RpoD	insH-3[insHp5]	+	[ICWHO]
RpoD	insH-6[insHp2]	+	[ICWHO]
RpoD	insH-7[insHp4]	+	[ICWHO]
RpoD	insH-7[insHp5]	+	[ICWHO]
RpoD	insH-7[insHp6]	+	[ICWHO]
RpoD	insH-9[insHp4]	+	[ICWHO]
RpoD	insI-3[insIp5]	+	[ICWHO]
RpoD	insL-1[insLp5]	+	[ICWHO]
RpoD	intS[intSp]	+	[TIM]
RpoD	intS[intSp5]	+	[ICWHO]
RpoD	iraD[iraDp1]	+	"[HIPP, TIM]"
RpoD	iraM[iraMp2]	+	[TIM]
RpoD	iraP[iraPp1]	+	"[NTAS, RS-EPT-CBR, TIM]"
RpoD	iscRSUA[iscRp]	+	[TIM]
RpoD	istR-1[istR-1p]	+	[TIM]
RpoD	istR-2[istR-2p]	+	[TIM]
RpoD	ivbL[ivbLp]	+	"[HIPP, TIM]"
RpoD	ivbL-ilvBN[ivbLp]	+	"[HIPP, TIM]"
RpoD	ivy[ivyp4]	+	[ICWHO]
RpoD	katG[katGp]	+	"[HIPP, TIM]"
RpoD	kbaZ-agaVWA[kbaZp]	+	[TIM]
RpoD	kbl-tdh[kblp]	+	[TIM]
RpoD	kdgR[kdgRp9]	+	[ICWHO]
RpoD	kdpE[kdpEp3]	+	[ICWHO]
RpoD	kdpFABC[kdpFp]	+	[TIM]
RpoD	kdsA[kdsAp]	+	"[HIPP, TIM]"
RpoD	kdsC-lptCAB[kdsCp1]	+	"[HIPP, IMP, TIM]"
RpoD	kdsC-lptCAB[kdsCp2]	+	"[HIPP, IMP, RS-EPT-CBR, TIM]"
RpoD	kdsC-lptCAB[kdsCp3]	+	"[HIPP, IMP, TIM]"
RpoD	kduI[kduIp5]	+	[ICWHO]
RpoD	kgtP[kgtPp6]	+	[ICWHO]
RpoD	kgtP[kgtPp8]	+	[ICWHO]
RpoD	lacZYA[lacZp1]	+	[TIM]
RpoD	ldrA[ldrAp8]	+	[ICWHO]
RpoD	ldrB[ldrBp5]	+	[ICWHO]
RpoD	ldrC[ldrCp4]	+	[ICWHO]
RpoD	leuE[leuEp4]	+	[ICWHO]
RpoD	leuL[leuLp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	leuLABCD[leuLp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	leuO[leuOp]	+	"[HIPP, TIM]"
RpoD	leuV[leuVp2]	+	[ICWHO]
RpoD	lexA-dinF[lexAp]	+	"[RS-EPT-CBR, TIM]"
RpoD	ligB[ligBp1]	+	[ICWHO]
RpoD	lipB[lipBp3]	+	[ICWHO]
RpoD	lit[litp8]	+	[ICWHO]
RpoD	lit[litp9]	+	[ICWHO]
RpoD	livJ[livJp]	+	[TIM]
RpoD	livKHMGF[livKp1]	+	"[HIPP, TIM]"
RpoD	lldPRD[lldPp]	+	[TIM]
RpoD	loiP[loiPp]	+	"[HIPP, TIM]"
RpoD	lolA-rarA[lolAp]	+	"[RS-EPT-CBR, TIM]"
RpoD	lolCDE[lolCp5]	+	[ICWHO]
RpoD	lpd[lpdAp]	+	"[HIPP, TIM]"
RpoD	lpoA[lpoAp2]	+	[ICWHO]
RpoD	lptAB[lptAp2]	+	"[HIPP, TIM]"
RpoD	lptD[impp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	lptD[impp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	lptFG[lptFp5]	+	[ICWHO]
RpoD	lptFG[lptFp6]	+	[ICWHO]
RpoD	lpxC[lpxCp1]	+	"[HIPP, NTAS]"
RpoD	lrp[lrpp]	+	[TIM]
RpoD	lspA-fkpB-ispH[lspAp]	+	"[IDA, TIM]"
RpoD	lsrRK[lsrRp]	+	"[AIPP, IEP]"
RpoD	lysA[lysAp]	+	[AIPP]
RpoD	lysC[lysCp2]	+	"[HIPP, TIM]"
RpoD	lysC[lysCp1]	+	"[HIPP, TIM]"
RpoD	lysP[lysPp]	+	[TIM]
RpoD	lysR[lysRp]	+	[AIPP]
RpoD	lysU[lysUp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	maeA[maeAp3]	+	[ICWHO]
RpoD	mak[makp4]	+	[ICWHO]
RpoD	malEFG[malEp]	+	"[RS-EPT-CBR, TIM]"
RpoD	malI[malIp]	+	[TIM]
RpoD	malK-lamB-malM[malKp]	+	"[IMP, TASES]"
RpoD	malPQ[malPp]	+	"[AIPP, IMP, RS-EPT-CBR]"
RpoD	malS[malSp]	+	[TIM]
RpoD	malT[malTp]	+	"[RS-EPT-CBR, TIM]"
RpoD	malXY[malXp]	+	"[ICA, TIM]"
RpoD	manA[manAp]	+	[TIM]
RpoD	manXYZ[manXp]	+	"[HIPP, TIM]"
RpoD	marRAB[marRp]	+	[HIPP]
RpoD	mcbA[mcbAp5]	+	[ICWHO]
RpoD	mcrA[mcrAp8]	+	[ICWHO]
RpoD	mcrA[mcrAp9]	+	[ICWHO]
RpoD	mdaB[mdaBp5]	+	[ICWHO]
RpoD	mdaB[mdaBp7]	+	[ICWHO]
RpoD	mdh[mdhp1]	+	"[ICWHO, TIM]"
RpoD	melAB[melAp]	+	"[IMP, TIM]"
RpoD	melR[melRp]	+	[TIM]
RpoD	menA-rraA[menAp]	+	"[HIPP, TIM]"
RpoD	menBCE[menBp]	+	[AIPP]
RpoD	mepH[ydhOp]	+	[AIPP]
RpoD	metA[metAp2]	+	[TIM]
RpoD	metBL[metBp]	+	[TIM]
RpoD	metC[metCp]	+	[AIPP]
RpoD	metF[metFp]	+	[TIM]
RpoD	metH[metHp]	+	[HIPP]
RpoD	metH[metHp2]	+	[TIM]
RpoD	metJ[metJp2]	+	[TIM]
RpoD	metJ[metJp3]	+	[TIM]
RpoD	metK[metKp]	+	"[HIPP, TIM]"
RpoD	metNIQ[metNp]	+	"[HIPP, ICA, RS-EPT-CBR]"
RpoD	metY[metYp1]	+	"[HIPP, TIM]"
RpoD	metY[metYp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	metY-rimP-nusA-infB[metYp1]	+	"[HIPP, TIM]"
RpoD	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[metYp1]	+	"[HIPP, TIM]"
RpoD	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp[metYp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	metZWV[metZp]	+	[TIM]
RpoD	mfd[mfdp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	mfd[mfdp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	mglAC[mglAp]	+	[AIPP]
RpoD	mgrR[mgrRp]	+	[TIM]
RpoD	mgtLA[mgtAp2]	+	"[HIPP, TIM]"
RpoD	mgtLA[mgtAp1]	+	"[HIPP, TIM]"
RpoD	mhpABCDFE[mhpAp]	+	"[HIPP, TIM]"
RpoD	mhpR-lacI[mhpRp]	+	"[HIPP, TIM]"
RpoD	mhpR-lacI[mhpRp1]	+	[TIM]
RpoD	miaA-hfq-hflXKC[miaAp1]	+	"[HIPP, IDA, IEP, RS-EPT-CBR, TIM]"
RpoD	micC[micCp]	+	[TIM]
RpoD	micF[micFp]	+	"[HIPP, TIM]"
RpoD	micM[micMp]	+	[TIM]
RpoD	mlc[mlcp1]	+	"[HIPP, TIM]"
RpoD	mlrA[mlrAp6]	+	[ICWHO]
RpoD	mltA[mltAp6]	+	[ICWHO]
RpoD	mltD[mltDp3]	+	[ICWHO]
RpoD	mltD[mltDp4]	+	[ICWHO]
RpoD	mltF[mltFp]	+	[AIPP]
RpoD	mmuPM[mmuPp5]	+	[ICWHO]
RpoD	mmuPM[mmuPp7]	+	[ICWHO]
RpoD	mngR[mngRp]	+	[HIPP]
RpoD	mnmG-rsmG[mnmGp]	+	[TIM]
RpoD	mntH[mntHp]	+	"[HIPP, TIM]"
RpoD	mntP[mntPp]	+	[TIM]
RpoD	mntR-ybiR[mntRp4]	+	[ICWHO]
RpoD	mntR-ybiR[mntRp5]	+	[ICWHO]
RpoD	mntR-ybiR[mntRp6]	+	[ICWHO]
RpoD	mocA[mocAp9]	+	[ICWHO]
RpoD	modABC[modAp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	moeAB[moeAp]	+	"[RS-EPT-CBR, TIM]"
RpoD	mokB[mokBp3]	+	[ICWHO]
RpoD	molR_1[molR_1p]	+	[AIPP]
RpoD	mpaA[mpaAp2]	+	[ICWHO]
RpoD	mpl[mplp2]	+	"[HIPP, RS-EPT-CBR]"
RpoD	mppA[mppAp9]	+	[ICWHO]
RpoD	mppA[mppAp13]	+	[ICWHO]
RpoD	mprA-emrAB[mprAp]	+	"[HIPP, TIM]"
RpoD	mqo[mqop5]	+	[ICWHO]
RpoD	mqo[mqop8]	+	[ICWHO]
RpoD	mqsA[mqsAp8]	+	[ICWHO]
RpoD	mqsA[mqsAp9]	+	[ICWHO]
RpoD	mqsRA[mqsRp]	+	[TIM]
RpoD	mqsRA[mqsRp2]	+	[TIM]
RpoD	mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC[mraZp]	+	"[HIPP, TIM]"
RpoD	mreB[mreBp1]	+	"[HIPP, TIM]"
RpoD	mreB[mreBp3]	+	"[HIPP, TIM]"
RpoD	mreBCD[mreBp1]	+	"[HIPP, TIM]"
RpoD	mreBCD[mreBp3]	+	"[HIPP, TIM]"
RpoD	mreD[mreDp2]	+	[ICWHO]
RpoD	msrB[msrBp6]	+	"[ICWHO, RS-EPT-CBR, TIM]"
RpoD	mtgA[mtgAp4]	+	[ICWHO]
RpoD	mtlADR[mtlAp]	+	[HIPP]
RpoD	mtr[mtrp2]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	mug[mugp6]	+	[ICWHO]
RpoD	murQP[murQp2]	+	[TIM]
RpoD	mutH[mutHp7]	+	[ICWHO]
RpoD	mutL-miaA-hfq-hflXKC[mutLp1]	+	"[HIPP, IDA, RS-EPT-CBR, TIM]"
RpoD	nadB[nadBp]	+	[AIPP]
RpoD	nadE[nadEp]	+	"[HIPP, TIM]"
RpoD	nadK[nadKp2]	+	[ICWHO]
RpoD	nagBAC-umpH[nagBp]	+	[TIM]
RpoD	nagC[nagCp1]	+	"[HIPP, IMP, RS-EPT-CBR, TIM]"
RpoD	nagC[nagCp2]	+	"[HIPP, IMP, TIM]"
RpoD	nagE[nagEp]	+	"[RS-EPT-CBR, TIM]"
RpoD	nagK-cobB[nagKp3]	+	[ICWHO]
RpoD	nanA[nanAp]	+	[TIM]
RpoD	nanATEK-yhcH[nanAp]	+	[TIM]
RpoD	nanR[nanRp9]	+	[ICWHO]
RpoD	nanR[nanRp10]	+	[ICWHO]
RpoD	napFDAGHBC-ccmABCDEFGH[napFp1]	+	"[HIPP, TIM]"
RpoD	napFDAGHBC-ccmABCDEFGH[napFp2]	+	"[HIPP, TIM]"
RpoD	narGHJI[narGp]	+	"[HIPP, TIM]"
RpoD	narK[narKp1]	+	"[HIPP, TIM]"
RpoD	narK[narKp2]	+	"[HIPP, TIM]"
RpoD	narU[narUp1]	+	[HIPP]
RpoD	narXL[narXp]	+	[HIPP]
RpoD	narZYWV[narZp]	+	[AIPP]
RpoD	ndh[ndhp]	+	"[HIPP, TIM]"
RpoD	ndk[ndkp4]	+	[ICWHO]
RpoD	nemRA[nemRp]	+	[TIM]
RpoD	nemRA-gloA[nemRp]	+	[TIM]
RpoD	nfo[nfop]	+	"[HIPP, TIM]"
RpoD	nfsB[nfsBp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	nhaAR[nhaAp1]	+	[TIM]
RpoD	nhaB[nhaBp7]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	nirBDC-cysG[nirBp]	+	"[RS-EPT-CBR, TIM]"
RpoD	nlpC[nlpCp5]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	nlpD-rpoS[nlpDp1]	+	[TIM]
RpoD	nlpD-rpoS[nlpDp2]	+	[TIM]
RpoD	nohA-ydfN-tfaQ[nohAp]	+	[AIPP]
RpoD	nrdAB-yfaE[nrdAp]	+	[TIM]
RpoD	nrdDG[nrdDp]	+	[TIM]
RpoD	nrdHIEF[nrdHp]	+	"[HIPP, TIM]"
RpoD	nrdR-ribDE-nusB-thiL-pgpA[nrdRp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	nrfABCDEFG[nrfAp]	+	"[IMP, TIM]"
RpoD	nudB-yebC-ruvC[nudBp]	+	[HIPP]
RpoD	nudC-hemE-nfi[nudCp2]	+	[ICWHO]
RpoD	nudC-hemE-nfi[nudCp5]	+	[ICWHO]
RpoD	nudE[nudEp6]	+	[ICWHO]
RpoD	nudE[nudEp8]	+	[ICWHO]
RpoD	nudI[nudIp3]	+	[ICWHO]
RpoD	nuoABCEFGHIJKLMN[nuoAp2]	+	[TIM]
RpoD	nuoN[nuoNp1]	+	[ICWHO]
RpoD	nupC[nupCp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	nupG[nupGp]	+	"[RS-EPT-CBR, TIM]"
RpoD	ogrK[ogrKp5]	+	[ICWHO]
RpoD	ohsC[ohsCp]	+	[TIM]
RpoD	ompA[ompAp1]	+	[TIM]
RpoD	ompC[ompCp1]	+	"[HTTIM, TIM]"
RpoD	ompF[ompFp]	+	"[RS-EPT-CBR, TIM]"
RpoD	ompN[ompNp3]	+	[ICWHO]
RpoD	ompN[ompNp4]	+	[ICWHO]
RpoD	ompN[ompNp6]	+	[ICWHO]
RpoD	ompR-envZ[ompRp2]	+	"[RS-EPT-CBR, TIM]"
RpoD	ompR-envZ[ompRp1]	+	"[HIPP, TIM]"
RpoD	ompR-envZ[ompRp3]	+	"[HIPP, TIM]"
RpoD	ompR-envZ[ompRp4]	+	"[HIPP, TIM]"
RpoD	ompX[ompXp1]	+	[TIM]
RpoD	opgB[opgBp7]	+	[ICWHO]
RpoD	opgD[opgDp7]	+	[ICWHO]
RpoD	opgD[opgDp9]	+	[ICWHO]
RpoD	opgGH[mdoGp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	orn[ornp5]	+	[ICWHO]
RpoD	osmC[osmCp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	oxyS[oxySp]	+	[HIPP]
RpoD	paaABCDEFGHIJK[paaAp]	+	"[HIPP, TIM]"
RpoD	paaXY[paaXp]	+	"[HIPP, TIM]"
RpoD	pabA[pabAp1]	+	"[IMP, TIM]"
RpoD	panBC[panBp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	panC[panCp4]	+	[ICWHO]
RpoD	parC[parCp4]	+	[ICWHO]
RpoD	pbpG[pbpGp5]	+	[ICWHO]
RpoD	pbpG[pbpGp7]	+	[ICWHO]
RpoD	pck[pckp]	+	"[HIPP, IDA, IMP]"
RpoD	pcnB-folK[pcnBp1]	+	[TIM]
RpoD	pcnB-folK[pcnBp2]	+	[TIM]
RpoD	pepA[pepAp1]	+	[TIM]
RpoD	pepA[pepAp2]	+	[TIM]
RpoD	pepA[pepAp3]	+	"[RS-EPT-CBR, TIM]"
RpoD	pepD[pepDp3]	+	"[HIPP, TIM]"
RpoD	pflA[pflAp8]	+	[ICWHO]
RpoD	pflDC[pflDp3]	+	[ICWHO]
RpoD	pgk[pgkp1]	+	"[IMP, TIM]"
RpoD	pgk[pgkp3]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	pgk-fbaA[pgkp1]	+	"[IMP, TIM]"
RpoD	pgk-fbaA[pgkp3]	+	"[HTTIM, RS-EPT-CBR]"
RpoD	pgpB[pgpBp4]	+	[ICWHO]
RpoD	pgpB[pgpBp6]	+	[ICWHO]
RpoD	pgpB[pgpBp7]	+	[ICWHO]
RpoD	pheLA[pheLp]	+	[TIM]
RpoD	pheP[phePp]	+	[TIM]
RpoD	phnCDE_1E_2FGHIJKLMNOP[phnCp]	+	"[HIPP, TIM]"
RpoD	phoA-psiF[phoAp]	+	"[HIPP, NTAS]"
RpoD	phoBR[phoBp]	+	"[HIPP, NTAS]"
RpoD	phoE[phoEp]	+	[TIM]
RpoD	phoH[phoHp1]	+	[TIM]
RpoD	phoU[phoUp]	+	"[HIPP, IMP, TIM]"
RpoD	phoU[phoUp2]	+	[ICWHO]
RpoD	pinE[pinEp1]	+	[ICWHO]
RpoD	pitB[pitBp]	+	[HIPP]
RpoD	pka[pkap]	+	"[HTTIM, TASES]"
RpoD	pldA[pldAp]	+	[HIPP]
RpoD	pldB-yigL[pldBp4]	+	[ICWHO]
RpoD	pmrD[pmrDp3]	+	[ICWHO]
RpoD	pmrD[pmrDp4]	+	[ICWHO]
RpoD	pncB[pncBp]	+	"[RS-EPT-CBR, TIM]"
RpoD	pnp[pnpp]	+	"[HIPP, TIM]"
RpoD	pntAB[pntAp]	+	[HIPP]
RpoD	polB[polBp]	+	[AIPP]
RpoD	potD[potDp5]	+	[ICWHO]
RpoD	potD[potDp6]	+	[ICWHO]
RpoD	ppdD-hofBC[ppdDp]	+	[AIPP]
RpoD	pphB[pphBp1]	+	[ICWHO]
RpoD	ppiA[ppiAp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	ppiA[ppiAp2]	+	[HIPP]
RpoD	ppiA[ppiAp3]	+	[HIPP]
RpoD	ppiA[ppiAp4]	+	[HIPP]
RpoD	ppiD[ppiDp2]	+	[TIM]
RpoD	ppsA[ppsp]	+	"[RS-EPT-CBR, TIM]"
RpoD	ppsR[ppsRp6]	+	[ICWHO]
RpoD	ppsR[ppsRp8]	+	[ICWHO]
RpoD	pptA[pptAp6]	+	[ICWHO]
RpoD	preTA[yeiTp]	+	[HTTIM]
RpoD	prfC[prfCp4]	+	[ICWHO]
RpoD	prlF-yhaV[sohAp]	+	"[HIPP, RS-EPT-CBR]"
RpoD	proBA[proBp8]	+	[ICWHO]
RpoD	proP[proPp1]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	proS[proSp]	+	[TIM]
RpoD	proVWX[proVp3]	+	[TIM]
RpoD	proVWX[proVp2]	+	[TIM]
RpoD	prpR[prpRp]	+	[HIPP]
RpoD	prs[prsp]	+	[TIM]
RpoD	psiE[psiEp]	+	"[HIPP, TIM]"
RpoD	pspF[pspFp1]	+	"[HIPP, TIM]"
RpoD	pspF[pspFp2]	+	"[HIPP, TIM]"
RpoD	pspF[pspFp3]	+	"[HIPP, TIM]"
RpoD	pssA[pssAp4]	+	[ICWHO]
RpoD	pssA[pssAp6]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	pstB-phoU[pstBp]	+	[HIPP]
RpoD	pth-ychF[pthp]	+	"[HIPP, TIM]"
RpoD	ptrA[ptrAp]	+	[TIM]
RpoD	ptrA-recBD[ptrAp]	+	[TIM]
RpoD	ptsG[ptsGp2]	+	"[HIPP, TIM]"
RpoD	ptsHI-crr[ptsHp4]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	ptsHI-crr[ptsHp2]	+	[TIM]
RpoD	purA[purAp]	+	"[RS-EPT-CBR, TIM]"
RpoD	purC[purCp]	+	[TIM]
RpoD	purEK[purEp]	+	"[IMP, TIM]"
RpoD	purHD[purHp]	+	[TIM]
RpoD	purL[purLp]	+	"[RS-EPT-CBR, TIM]"
RpoD	purMN[purMp]	+	[TIM]
RpoD	purR[purRp]	+	[TIM]
RpoD	purT[purTp3]	+	[ICWHO]
RpoD	purU[purUp3]	+	"[ICWHO, RS-EPT-CBR]"
RpoD	purU[purUp4]	+	[ICWHO]
RpoD	purU[purUp5]	+	[ICWHO]
RpoD	putA[putAp]	+	"[HIPP, TIM]"
RpoD	putP[putPp1]	+	"[HIPP, TIM]"
RpoD	putP[putPp4]	+	"[HIPP, TIM]"
RpoD	pykF[pykFp]	+	[HIPP]
RpoD	pyrC[pyrCp]	+	"[HIPP, TIM]"
RpoD	pyrD[pyrDp]	+	[TIM]
RpoD	pyrF-yciH[pyrFp]	+	"[RS-EPT-CBR, TIM]"
RpoD	pyrH[pyrHp]	+	"[HIPP, RS-EPT-CBR, TIM]"
RpoD	qseBC[qseBp2]	+	[TIM]
RpoD	qseBC[qseBp1]	+	[TIM]
RpoD	queE[queEp7]	+	[ICWHO]
