TF	TU	Function	Evidence that supports the existence of the regulatory interaction
IHF	nrfABCDEFG[nrfAp]	+	"[AIBSCS, BPP, GEA, SM]"
IHF	nuoABCEFGHIJKLMN[nuoAp2]	-	"[BPP, GEA, HIBSCS, SM]"
IHF	ompC[ompCp1]	-	"[BCE, BPP, GEA, HIBSCS]"
IHF	ompC[ompCp3]	-	"[BCE, BPP, GEA, HIBSCS]"
IHF	ompF[ompFp]	+	"[BCE, HIBSCS]"
IHF	ompR-envZ[ompRp1]	-	"[BPP, SM]"
IHF	osmE[osmEp]	-	"[GEA, HIBSCS]"
IHF	osmY[osmYp]	-	"[BCE, BPP, GEA, HIBSCS]"
IHF	paaABCDEFGHIJK[paaAp]	+	"[BPP, GEA, HIBSCS, SM]"
IHF	paaZ[paaZp]	+	"[BPP, GEA, HIBSCS, SM]"
IHF	patA[patAp]	?	[AIBSCS]
IHF	pspABCDE[pspAp]	+	"[BCE, BPP, GEA, HIBSCS]"
IHF	pspG[pspGp]	+	[ICA]
IHF	pstS[pstSp]	+	"[BPP, GEA]"
IHF	pstSCA[pstSp]	+	"[BPP, GEA]"
IHF	pstSCAB-phoU[pstSp]	+	"[BPP, GEA]"
IHF	rpoH[rpoHp6]	+	"[BPP, GEA]"
IHF	rtcBA[rtcBp]	+	[AIBSCS]
IHF	sodA[sodAp]	-	"[BPP, HIBSCS]"
IHF	sodB[sodBp]	-	"[AIBSCS, GEA]"
IHF	sra[srap]	+	[GEA]
IHF	ssuEADCB[ssuEp]	+	"[BPP, GEA, HIBSCS]"
IHF	sucAB[sucAp]	-	"[AIBSCS, GEA]"
IHF	sucABCD[sucAp]	-	"[AIBSCS, GEA]"
IHF	sufABCDSE[sufAp]	+	"[BPP, SM]"
IHF	tdcABCDEFG[tdcAp]	+	"[BCE, BPP, HIBSCS, SM]"
IHF	tyrP[tyrPp1]	-	[GEA]
IHF	ubiCA[ubiCp]	-	"[GEA, HIBSCS]"
IHF	ulaABCDEF[ulaAp]	-	"[BCE, NTAS]"
IHF	ulaG[ulaGp]	-	"[BCE, GEA]"
IHF	uspA[uspAp1]	+	"[GEA, HIBSCS]"
IHF	uspB[uspBp]	-	"[GEA, HIBSCS]"
IHF	yadV-htrE[yadVp1]	+	[GEA]
IHF	yadV-htrE[yadVp2]	+	[GEA]
IHF	yadV-htrE[yadVp3]	+	[GEA]
IHF	yeiL[yeiLp]	+	"[GEA, HIBSCS]"
IHF	yiaJ[yiaJp]	-	"[BPP, HIBSCS]"
IHF	yiaKLMNO-lyxK-sgbHUE[yiaKp]	+	"[BPP, GEA, HIBSCS, SM]"
IHF	yjbE[yjbEp1]	+	"[BPP, HIBSCS]"
IHF	yjbEFGH[yjbEp1]	+	"[BPP, HIBSCS]"
IclR	aceBAK[aceBp]	-	"[BPP, GEA, HIBSCS]"
IclR	iclR[iclRp]	-	"[BPP, GEA, HIBSCS]"
IdnR	gntK[gntKp]	-	[GEA]
IdnR	gntKU[gntKp]	-	[GEA]
IdnR	idnDOTR[idnDp]	+	"[AIBSCS, GEA]"
IdnR	idnK[idnKp]	+	"[AIBSCS, GEA]"
IlvY	ilvC[ilvCp]	+	"[BCE, BPP, GEA, HIBSCS, IC]"
IlvY	ilvY[ilvYp]	-	"[BCE, BPP, GEA, HIBSCS, IC]"
IscR	erpA[erpAp]	-	"[BPP, GEA]"
IscR	hyaABCDEF[hyaAp]	-	"[BPP, GEA, HIBSCS]"
IscR	iscRSUA[iscRp]	-	"[BPP, GEA, SM]"
IscR	napFDAGHBC[napFp3]	-	"[BPP, GEA]"
IscR	nfuA[nfuAp1]	-	"[BPP, GEA]"
IscR	nrdHIEF[nrdHp]	+	[GEA]
IscR	rnlAB[rnlAp2]	-	"[BPP, GEA, HIBSCS]"
IscR	sufABCDSE[sufAp]	+	"[BPP, GEA, HIBSCS, IMP, SM]"
IscR	ydiU[ydiUp]	+	"[BPP, GEA]"
KdgR	eda[edap1]	-	"[BPP, GEA, HIBSCS]"
KdgR	edd-eda[eddp1]	-	"[AIBSCS, HIBSCS]"
KdpE	kdpFABC[kdpFp]	+	"[BPP, GEA, HIBSCS, SM]"
LacI	lacZYA[lacZp1]	-	"[HIBSCS, SM]"
LeuO	bglG[bglGp]	+	"[BPP, GEA, IC]"
LeuO	bglGFB[bglGp]	+	"[BPP, GEA, IC]"
LeuO	cadC[cadCp]	-	[GEA]
LeuO	casABCDE12[casp]	+	"[BPP, GEA, IC]"
LeuO	dsrA[dsrAp]	-	[GEA]
LeuO	leuL[leuLp]	+	[GEA]
LeuO	leuLABCD[leuLp]	+	[GEA]
LeuO	leuO[leuOp]	+	"[BPP, GEA, IC]"
LeuO	leuO[leuOp2]	+-	"[BPP, GEA, IC]"
LeuO	yjjQ-bglJ[yjjQp]	+	[BPP]
LexA	cho[chop]	-	"[AIBSCS, HIBSCS]"
LexA	dinB-yafNOP[dinBp]	-	"[AIBSCS, HIBSCS, ICWHO]"
LexA	dinD[dinDp]	-	"[AIBSCS, GEA, HIBSCS]"
LexA	dinG[dinGp]	-	"[AIBSCS, BPP, GEA]"
LexA	dinI[dinIp]	-	"[AIBSCS, BPP, GEA, HIBSCS, IHBCE, SM]"
LexA	dinJ-yafQ[dinJp]	-	[AIBSCS]
LexA	dinQ[dinQp]	-	"[AIBSCS, GEA, HIBSCS]"
LexA	ftsK[ftsKp1]	-	"[AIBSCS, BPP, GEA]"
LexA	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC[ftsLp2]	-	[HIBSCS]
LexA	hokE[hokEp]	-	[AIBSCS]
LexA	insK[insKp]	-	"[AIBSCS, GEA]"
LexA	lexA-dinF[lexAp]	-	"[BPP, HIBSCS]"
LexA	molR_1[molR_1p]	-	[AIBSCS]
LexA	phr[phrBp]	-	"[GEA, HIBSCS]"
LexA	polB[polBp]	-	"[AIBSCS, BPP, GEA]"
LexA	ptrA[ptrAp]	-	"[BPP, SM]"
LexA	ptrA-recBD[ptrAp]	-	"[BPP, SM]"
LexA	recA[recAp]	-	[BPP]
LexA	recAX[recAp]	-	[BPP]
LexA	recN[recNp]	-	"[AIBSCS, BPP]"
LexA	rpsU-dnaG-rpoD[rpsUp3]	-	"[BCE, SM]"
LexA	ruvAB[ruvAp2]	-	"[BPP, HIBSCS]"
LexA	ruvAB[ruvAp1]	-	"[BPP, HIBSCS]"
LexA	sbmC[sbmCp2]	-	"[GEA, IHBCE]"
LexA	ssb[ssbp3]	-	"[BCE, HIBSCS]"
LexA	sulA[sulAp]	-	[BCE]
LexA	symE[symEp]	-	"[AIBSCS, BPP]"
LexA	tisB[tisBp]	-	"[GEA, ICA]"
LexA	umuDC[umuDp]	-	"[BPP, HIBSCS]"
LexA	uvrA[uvrAp]	-	"[BCE, HIBSCS]"
LexA	uvrB[uvrBp2]	-	"[BPP, HIBSCS]"
LexA	uvrC[uvrCp3]	-	[GEA]
LexA	uvrD[uvrDp1]	-	[HIBSCS]
LexA	uvrYC[uvrYp2]	-	"[AIBSCS, GEA]"
LexA	yafNOP[yafNp]	-	[HIBSCS]
LexA	ybfE[ybfEp]	-	[AIBSCS]
LexA	ydjM[ydjMp]	-	"[AIBSCS, BPP, GEA]"
LexA	yebG[yebGp]	-	"[AIBSCS, GEA, HIBSCS, IHBCE]"
LldR	lldPRD[lldPp]	+-	"[AIBSCS, BPP, GEA, SM, HIBSCS]"
LrhA	fimE[fimEp]	+	"[BPP, GEA]"
LrhA	flhDC[flhDp]	-	"[BPP, GEA]"
LrhA	lrhA[lrhAp]	+	"[BPP, GEA]"
Lrp	adhE[adhEp1]	-	"[AIBSCS, GEA]"
Lrp	aidB[aidBp]	-	"[BPP, HIBSCS]"
Lrp	alaA[alaAp9]	-	[GEA]
Lrp	argO[argOp]	+	"[BPP, GEA, HIBSCS]"
Lrp	avtA[avtAp]	-	[GEA]
Lrp	cadBA[cadBp]	+	"[BPP, GEA]"
Lrp	csiD-lhgO-gabDTP[csiDp]	+	"[BPP, GEA]"
Lrp	dadAX[dadAp2]	-	"[BPP, GEA, HIBSCS, SM]"
Lrp	dadAX[dadAp1]	-	"[BPP, GEA, HIBSCS, SM]"
Lrp	dadAX[dadAp3]	-	"[BPP, GEA, HIBSCS, SM]"
Lrp	fimAICDFGH[fimAp]	+	"[BPP, HIBSCS, SM]"
Lrp	fimE[fimEp]	+	[GEA]
Lrp	gcvTHP[gcvTp]	+	"[GEA, SM]"
Lrp	gltBDF[gltBp]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
Lrp	hdeAB-yhiD[hdeAp]	-	"[AIBSCS, GEA]"
Lrp	ilvIH[ilvIp2]	-	"[BCE, BPP, GEA, HIBSCS, SM]"
Lrp	ilvIH[ilvIHp1]	+	"[BCE, BPP, GEA, HIBSCS, SM]"
Lrp	ilvL[ilvLp2]	-	"[HIBSCS, SM]"
Lrp	ilvLXG_1G_2MEDA[ilvLp2]	-	"[HIBSCS, SM]"
Lrp	kbl-tdh[kblp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
Lrp	leuE[leuEp]	-	[AIBSCS]
Lrp	livJ[livJp]	-	"[BPP, GEA, HIBSCS, SM]"
Lrp	livKHMGF[livKp1]	-	[GEA]
Lrp	lrp[lrpp]	-	"[AIBSCS, BCE, GEA, HIBSCS, SM]"
Lrp	lysP[lysPp]	+	"[BPP, GEA]"
Lrp	lysU[lysUp1]	-	"[HIBSCS, SM]"
Lrp	malT[malTp]	+	[GEA]
Lrp	micF[micFp]	-	"[BPP, GEA]"
Lrp	ompC[ompCp1]	-	"[AIBSCS, BPP, GEA]"
Lrp	ompC[ompCp2]	-	"[AIBSCS, BPP, GEA]"
Lrp	ompC[ompCp3]	-	"[AIBSCS, BPP, GEA]"
Lrp	oppABCDF[oppAp]	-	[BPP]
Lrp	osmC[osmCp1]	-	"[BPP, GEA, HIBSCS, SM]"
Lrp	osmC[osmCp2]	+	"[BPP, GEA, HIBSCS, SM]"
Lrp	osmY[osmYp]	-	"[BPP, GEA, HIBSCS]"
Lrp	rrsA-ileT-alaT-rrlA-rrfA[rrsAp1]	-	"[BCE, BPP]"
Lrp	rrsB-gltT-rrlB-rrfB[rrsBp1]	-	"[BPP, GEA, IEP]"
Lrp	rrsC-gltU-rrlC-rrfC[rrsCp1]	-	"[BPP, IDA]"
Lrp	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]	-	[GEA]
Lrp	rrsE-gltV-rrlE-rrfE[rrsEp]	-	[GEA]
Lrp	rrsG-gltW-rrlG-rrfG[rrsGp1]	-	[GEA]
Lrp	rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]	-	[GEA]
Lrp	sdaA[sdaAp]	-	[AIBSCS]
Lrp	serA[serAp2]	-	"[BPP, GEA]"
Lrp	serA[serAp1]	+	"[BPP, GEA]"
Lrp	serC[serCp]	+	"[GEA, HIBSCS, SM]"
Lrp	serC-aroA[serCp]	+	"[GEA, HIBSCS, SM]"
Lrp	ssrS[ssrSp1]	-	"[BPP, GEA]"
Lrp	ssrS[ssrSp2]	-	"[BPP, GEA]"
Lrp	ssrS-fau[ssrSp1]	-	"[BPP, GEA]"
Lrp	ssrS-fau[ssrSp2]	-	"[BPP, GEA]"
Lrp	stpA[stpAp1]	+	"[BCE, BPP, GEA, HIBSCS]"
Lrp	yeiL[yeiLp]	+	"[GEA, HIBSCS]"
Lrp	yojI[yojIp]	+	"[GEA, ICWHO]"
LsrR	lsrACDBFG-tam[lsrAp]	-	"[BPP, GEA, SM]"
LsrR	lsrRK[lsrRp]	-	"[BPP, GEA, SM]"
LysR	lysA[lysAp]	+	[GEA]
LysR	lysR[lysRp]	-	[GEA]
MalI	malI[malIp]	-	"[BCE, GEA, SM]"
MalI	malXY[malXp]	-	"[BCE, GEA, SM]"
MalT	malEFG[malEp]	+	"[AIBSCS, BPP, HIBSCS, SM]"
MalT	malK-lamB-malM[malKp]	+	"[AIBSCS, BPP, HIBSCS, SM]"
MalT	malPQ[malPp]	+	"[AIBSCS, BPP, SM]"
MalT	malS[malSp]	+	"[AIBSCS, BCE]"
MalT	malZ[malZp]	+	[AIBSCS]
MarA	acnA[acnAp2]	+	"[BPP, GEA, HIBSCS]"
MarA	acrAB[acrAp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
MarA	acrZ[acrZp]	+	"[GEA, IHBCE]"
MarA	fpr[fprp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
MarA	fumC[fumCp]	+	"[BPP, GEA]"
MarA	hdeAB-yhiD[hdeAp]	-	"[APPH, GEA, HIBSCS, SM]"
MarA	inaA[inaAp]	+	"[BPP, GEA, HIBSCS]"
MarA	marRAB[marRp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
MarA	micF[micFp]	+	"[AIBSCS, BPP, GEA, HIBSCS]"
MarA	nfo[nfop]	+	"[AIBSCS, GEA, HIBSCS]"
MarA	nfsB[nfsBp]	+	"[BPP, GEA, HIBSCS]"
MarA	poxB[poxBp]	+	"[GEA, HIBSCS]"
MarA	pqiAB[pqiAp1]	+	"[BPP, GEA, HIBSCS]"
MarA	purA[purAp]	-	"[BPP, GEA, HIBSCS, SM]"
MarA	putA[putAp]	+	[GEA]
MarA	rob[robp]	-	"[BPP, GEA, HIBSCS, SM]"
MarA	slp-dctR[slpp]	-	"[GEA, HIBSCS]"
MarA	sodA[sodAp]	+	"[BPP, HIBSCS]"
MarA	tolC-ygiABC[tolCp4]	+	"[AIBSCS, GEA]"
MarA	tolC-ygiABC[tolCp3]	+	"[AIBSCS, GEA]"
MarA	waaYZ[rfaYp]	+	"[GEA, HIBSCS]"
MarA	ybaO[ybaOp]	+	[AIBSCS]
MarA	ybjC-nfsA-rimK-ybjN[ybjCp]	+	"[BPP, GEA, HIBSCS]"
MarA	yncE[yncEp]	+	"[GEA, HIBSCS]"
MarA	zwf[zwfp]	+	"[BPP, GEA, HIBSCS]"
MarR	marRAB[marRp]	-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
MatA	ecpA[matBp5]	+	[BPP]
MatA	ecpR[matAp1]	+	[BPP]
MatA	flhDC[flhDp]	-	"[BPP, GEA]"
MatA	flhDC[flhDp2]	-	"[BPP, GEA]"
MatA	fliAZY[fliAp1]	-	[BPP]
MatA	fliC[fliCp]	-	[BPP]
MazE	mazEFG[mazEp1]	-	"[BCE, GEA, SM]"
MazE	mazEFG[mazEp2]	-	"[BCE, GEA, SM]"
MazE-MazF	mazEFG[mazEp1]	-	"[BCE, GEA, SM]"
MazE-MazF	mazEFG[mazEp2]	-	"[BCE, GEA, SM]"
McbR	mcbA[mcbAp5]	-	"[BPP, GEA]"
McbR	yciG[yciGp]	+	"[BPP, GEA]"
McbR	yciGFE[yciGp]	+	"[BPP, GEA]"
MelR	melAB[melAp]	+	"[BPP, GEA, HIBSCS, SM]"
MelR	melR[melRp]	+	"[BPP, GEA, SM, HIBSCS]"
MetJ	ahpCF[ahpCp]	-	[AIBSCS]
MetJ	folE-yeiB[folEp]	-	"[AIBSCS, BPP, GEA]"
MetJ	metA[metAp1]	-	"[AIBSCS, BCE, BPP, GEA]"
MetJ	metBL[metBp]	-	"[AIBSCS, GEA]"
MetJ	metC[metCp]	-	[BPP]
MetJ	metE[metEp]	-	[BPP]
MetJ	metF[metFp]	-	"[AIBSCS, BCE, SM]"
MetJ	metK[metKp]	-	[AIBSCS]
MetJ	metNIQ[metNp]	-	"[AIBSCS, GEA, HIBSCS]"
MetJ	metR[metRp1]	-	[BPP]
MetJ	metR[metRp2]	-	[BPP]
MetR	glyA[glyAp]	+	"[BPP, GEA, HIBSCS, SM, IMP]"
MetR	hmp[hmpAp]	+	"[BPP, GEA, HIBSCS, IMP, SM]"
MetR	metE[metEp]	+	"[BPP, GEA, HIBSCS]"
MetR	metH[metHp]	+	"[GEA, HIBSCS]"
MetR	metR[metRp1]	-	"[BPP, GEA, HIBSCS]"
MetR	metR[metRp2]	-	"[BPP, GEA, HIBSCS]"
MhpR	mhpABCDFE[mhpAp]	+	"[BCE, GEA, HIBSCS, SM]"
Mlc	malT[malTp]	-	"[BCE, GEA, HIBSCS]"
Mlc	manXYZ[manXp]	-	"[BCE, GEA]"
Mlc	mlc[mlcp1]	-	"[BCE, GEA, HIBSCS]"
Mlc	mlc-ynfK[mlcp2]	-	"[BCE, GEA, HIBSCS]"
Mlc	ptsG[ptsGp1]	-	"[BPP, GEA, HIBSCS]"
Mlc	ptsG[ptsGp2]	-	"[BPP, GEA, HIBSCS]"
Mlc	ptsHI-crr[ptsHp4]	-	"[BPP, GEA, HIBSCS]"
MlrA	cadC[cadCp]	+	"[BPP, HIBSCS]"
MlrA	csgDEFG[csgDp1]	+	"[BPP, GEA]"
MlrA	ibaG[ibaGp2]	+	"[BPP, HIBSCS]"
MlrA	rplU-rpmA[rplUp]	+	"[BPP, HIBSCS]"
MngR	mngAB[mngAp]	-	"[BPP, GEA, HIBSCS]"
MngR	mngR[mngRp]	-	"[BPP, GEA, HIBSCS]"
MntR	dps[dpsp]	-	"[GEA, HIBSCS]"
MntR	mntH[mntHp]	-	"[AIBSCS, BPP, GEA]"
MntR	mntP[mntPp]	+	"[GEA, HIBSCS]"
MntR	rybA-mntS[rybAp]	-	"[GEA, HIBSCS]"
ModE	deoCABD[deoCp2]	-	"[BPP, GEA, HIBSCS]"
ModE	dmsABC[dmsAp2]	-	"[BPP, GEA, HIBSCS, SM]"
ModE	hycABCDEFGHI[hycAp]	+	"[BPP, GEA]"
ModE	moaABCDE[moaAp2]	+	"[BPP, GEA]"
ModE	modABC[modAp]	-	"[BPP, GEA, SM]"
ModE	napFDAGHBC-ccmABCDEFGH[napFp1]	+	"[BPP, GEA, HIBSCS, SM]"
ModE	napFDAGHBC-ccmABCDEFGH[napFp2]	+	"[BPP, GEA, HIBSCS, SM]"
ModE	narXL[narXp]	+	"[BPP, GEA, HIBSCS]"
ModE	oppABCDF[oppAp]	-	[GEA]
MprA	acrAB[acrAp]	-	[AIBSCS]
MprA	mprA-emrAB[mprAp]	-	[BPP]
MprA	nmpC[nmpCp]	-	[AIBSCS]
MqsA	cspD[cspDp]	-	"[BPP, GEA]"
MqsA	mqsRA[mqsRp]	-	"[BPP, HIBSCS, IHBCE]"
MqsA	rpoS[rpoSp]	-	"[BPP, GEA, IHBCE, SM]"
MtlR	mtlADR[mtlAp]	-	[GEA]
MurR	murQP[murQp1]	-	"[BPP, GEA, ICWHO]"
MurR	murQP[murQp2]	-	"[BPP, GEA, ICWHO]"
MurR	murR[murRp]	+-	"[GEA, HIBSCS]"
Nac	asnC[asnCp]	-	"[GEA, HIBSCS]"
Nac	asnC-mioC[asnCp]	-	"[GEA, HIBSCS]"
Nac	asnC-mioC-mnmG[asnCp]	-	"[GEA, HIBSCS]"
Nac	codBA[codBp]	+	"[AIBSCS, BPP, GEA, SM]"
Nac	feaR[feaRp2]	+	[IHBCE]
Nac	gabDTP[gabDp1]	+	"[GEA, HIBSCS]"
Nac	gdhA[gdhAp1]	-	"[GEA, HIBSCS]"
Nac	gltBDF[gltBp]	-	[GEA]
Nac	nac[nacp]	-	"[BPP, GEA, HIBSCS]"
Nac	nupC[nupCp]	+	[GEA]
Nac	serA[serAp1]	-	"[GEA, HIBSCS]"
Nac	ydcSTUV-patD[ydcSp1]	+	"[GEA, HIBSCS, IDA]"
NadR	nadA-pnuC[nadAp]	-	"[ICWHO, IMP]"
NadR	nadB[nadBp]	-	"[AIBSCS, BPP, GEA, IMP]"
NadR	pncB[pncBp]	-	[AIBSCS]
NagC	chbBCARFG[chbBp]	-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
NagC	chiP-ybfN[ybfMp]	-	[AIBSCS]
NagC	creABCD[creAp]	-	[AIBSCS]
NagC	dinI[dinIp]	-	[AIBSCS]
NagC	feoABC[feoAp]	?	[AIBSCS]
NagC	fimB[fimBp2]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
NagC	galP[galPp]	-	"[AIBSCS, BPP, SM]"
NagC	glmUS[glmUp1]	+	"[BPP, HIBSCS, SM]"
NagC	glmUS[glmUp2]	-	"[BPP, HIBSCS, SM]"
NagC	manXYZ[manXp]	-	"[AIBSCS, BCE, GEA, HIBSCS]"
NagC	nagBAC-umpH[nagBp]	-	"[BPP, GEA, SM]"
NagC	nagE[nagEp]	-	"[BPP, GEA, SM]"
NagC	nanCM[nanCp]	-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
NagC	nanCMS[nanCp]	-	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
NagC	ptsHI-crr[ptsHp4]	-	[AIBSCS]
NagC	ptsHI-crr[ptsHp5]	-	[AIBSCS]
NagC	ptsHI-crr[ptsHp3]	-	[AIBSCS]
NagC	ydeN[ydeNp7]	-	[AIBSCS]
NagC	ydeP[ydePp]	-	[AIBSCS]
NanR	fimB[fimBp2]	+	"[BPP, GEA, HIBSCS, SM]"
NanR	nanA[nanAp]	-	"[BPP, GEA, SM]"
NanR	nanATEK-yhcH[nanAp]	-	"[BPP, GEA, SM]"
NanR	nanCM[nanCp]	-	"[BPP, GEA, HIBSCS, SM]"
NanR	nanCMS[nanCp]	-	"[BPP, GEA, HIBSCS, SM]"
NanR	yjhBC[yjhBp2]	-	"[BPP, GEA, SM]"
NarL	adhE[adhEp1]	-	"[GEA, HIBSCS]"
NarL	adhE[adhEp2]	-	"[GEA, HIBSCS]"
NarL	aspA[aspAp]	-	"[BPP, GEA]"
NarL	aspA-dcuA[aspAp]	-	"[BPP, GEA]"
NarL	caiF[caiFp]	-	[GEA]
NarL	citCDEFXG[citCp2]	-	[AIBSCS]
NarL	cydDC[cydDp]	+	"[GEA, HIBSCS]"
NarL	dcuB-fumB[dcuBp]	-	"[GEA, HIBSCS]"
NarL	dcuSR[dcuSp]	-	"[BPP, GEA, HIBSCS]"
NarL	dmsABC[dmsAp1]	-	"[BCE, BPP, HIBSCS]"
NarL	dpiBA[dpiBp]	-	[AIBSCS]
NarL	dpiBA[dpiBp2]	-	[AIBSCS]
NarL	fdhF[fdhFp]	-	"[BPP, GEA]"
NarL	fdnGHI[fdnGp]	+	"[BCE, BPP, GEA, HIBSCS, SM]"
NarL	focA-pflB[focAp1]	-	"[BPP, GEA, HIBSCS]"
NarL	focA-pflB[focAp3]	-	"[BPP, GEA, HIBSCS]"
NarL	frdABCD[frdAp]	-	"[BPP, HIBSCS]"
NarL	hcp-hcr[hcpp]	+	"[BPP, GEA, HIBSCS]"
NarL	hyaABCDEF[hyaAp]	-	"[GEA, HIBSCS]"
NarL	hybOABCDEFG[hybOp1]	-	"[GEA, HIBSCS]"
NarL	moeAB[moeAp]	+	"[AIBSCS, GEA]"
NarL	napFDAGHBC-ccmABCDEFGH[napFp1]	-	"[GEA, HIBSCS, SM]"
NarL	napFDAGHBC-ccmABCDEFGH[napFp2]	-	"[GEA, HIBSCS, SM]"
NarL	narGHJI[narGp]	+	"[BPP, GEA, HIBSCS, SM]"
NarL	narK[narKp1]	+	"[BPP, HIBSCS, SM]"
NarL	nikABCDER[nikAp1]	-	[GEA]
NarL	nirBDC-cysG[nirBp]	+	"[BCE, BPP, GEA, SM]"
NarL	norVW[norVp]	-	"[GEA, HIBSCS]"
NarL	nrfABCDEFG[nrfAp]	+	"[AIBSCS, BPP, GEA, HIBSCS, SM]"
NarL	nuoABCEFGHIJKLMN[nuoAp2]	+	"[GEA, HIBSCS]"
NarL	ogt[ogtp]	+	[BPP]
NarL	torCAD[torCp]	-	[IMP]
NarL	ubiCA[ubiCp]	-	[GEA]
NarL	ydhYVWXUT[ydhYp]	-	"[BPP, GEA, HIBSCS, SM]"
NarL	yeaR-yoaG[yeaRp]	+	"[AIBSCS, BPP, GEA]"
NarL	ynfEFGH-dmsD[ynfEp]	-	"[AIBSCS, BPP]"
NarL	ytfE[ytfEp]	+	[AIBSCS]
NarP	fdhF[fdhFp]	+	[GEA]
NarP	fdnGHI[fdnGp]	-	"[GEA, SM]"
NarP	hcp-hcr[hcpp]	+	"[GEA, HIBSCS]"
NarP	hyaABCDEF[hyaAp]	-	"[GEA, HIBSCS]"
NarP	napFDAGHBC-ccmABCDEFGH[napFp1]	+	"[GEA, HIBSCS, SM]"
NarP	napFDAGHBC-ccmABCDEFGH[napFp2]	-	"[GEA, HIBSCS, SM]"
NarP	nirBDC-cysG[nirBp]	+	"[BCE, BPP, GEA, SM]"
NarP	norVW[norVp]	-	"[GEA, HIBSCS]"
NarP	nrfABCDEFG[nrfAp]	+	"[BPP, GEA, HIBSCS, SM]"
NarP	ydhYVWXUT[ydhYp]	-	"[BPP, GEA, HIBSCS, SM]"
NarP	yeaR-yoaG[yeaRp]	+	"[AIBSCS, GEA]"
NarP	ytfE[ytfEp]	+	[AIBSCS]
NemR	nemRA[nemRp]	-	"[AIBSCS, BPP, GEA]"
NemR	nemRA-gloA[nemRp]	-	"[AIBSCS, BPP, GEA]"
NhaR	nhaAR[nhaAp1]	+	"[BCE, BPP, GEA]"
NhaR	osmC[osmCp1]	+	"[BCE, GEA, SM]"
NhaR	pgaABCD[pgaAp]	+	"[BPP, GEA, HIBSCS]"
NikR	nikABCDER[nikAp1]	-	[BPP]
NorR	norR[norRp]	-	"[AIBSCS, BPP, GEA]"
NorR	norVW[norVp]	+	"[AIBSCS, BPP, GEA]"
NrdR	nrdAB-yfaE[nrdAp]	-	"[BPP, GEA, HIBSCS, SM]"
NrdR	nrdDG[nrdDp]	-	"[BPP, GEA, HIBSCS]"
NrdR	nrdHIEF[nrdHp]	-	"[BPP, GEA, HIBSCS]"
NsrR	aceEF[aceEp]	-	"[GEA, HIBSCS]"
NsrR	bamE[bamEp]	-	"[GEA, HIBSCS]"
NsrR	bdcA[bdcAp]	-	"[GEA, HIBSCS]"
NsrR	cdd[cddp]	-	"[GEA, HIBSCS]"
NsrR	dkgB[dkgBp]	-	"[GEA, HIBSCS]"
NsrR	dsdC[dsdCp]	-	"[GEA, HIBSCS]"
NsrR	feaB[feaBp1]	-	"[GEA, HIBSCS]"
NsrR	feaR[feaRp2]	-	"[GEA, HIBSCS]"
NsrR	fliAZY[fliAp1]	-	"[GEA, HIBSCS, SM]"
NsrR	fliAZY[fliAp2]	-	"[GEA, HIBSCS]"
NsrR	grxD[grxD]	-	"[GEA, HIBSCS]"
NsrR	hcp-hcr[hcpp]	-	"[BCE, GEA, HIBSCS, SM]"
NsrR	hmp[hmpAp]	-	"[AIBSCS, GEA, HIBSCS]"
NsrR	hycABCDEFGHI[hycAp]	-	"[GEA, HIBSCS]"
NsrR	hypABCDE[hypAp]	-	"[GEA, HIBSCS]"
NsrR	hypABCDE-fhlA[hypAp]	-	"[GEA, HIBSCS]"
NsrR	lrp[lrpp]	-	"[GEA, HIBSCS]"
NsrR	mepH[ydhOp]	-	"[GEA, HIBSCS]"
NsrR	mhpT[mhpTp]	-	"[GEA, HIBSCS]"
NsrR	ndh[ndhp]	-	"[GEA, HIBSCS]"
NsrR	norR[norRp]	-	"[GEA, HIBSCS]"
NsrR	nrfABCDEFG[nrfAp]	-	"[BCE, GEA, HIBSCS, SM]"
NsrR	pgpC-tadA[pgpCp]	-	"[GEA, HIBSCS]"
NsrR	rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM[rfep]	-	"[GEA, HIBSCS]"
NsrR	rybB[rybBp]	-	[GEA]
NsrR	sodB[sodBp]	-	"[AIBSCS, GEA]"
NsrR	sufABCDSE[sufAp]	-	"[GEA, HIBSCS]"
NsrR	tehAB[tehAp]	-	"[AIBSCS, GEA, HIBSCS]"
NsrR	thrS-infC[thrSp]	-	"[GEA, HIBSCS]"
NsrR	thrS-infC-rpmI-rplT-pheMST-ihfA[thrSp]	-	"[GEA, HIBSCS]"
