TU	Gene
fur	fur
uof-fur	uof
uof-fur	fur
fldB	fldB
flgAMN	flgA
flgAMN	flgM
flgAMN	flgN
flgMN	flgM
flgMN	flgN
flgN	flgN
flgBCDEFGHIJ	flgB
flgBCDEFGHIJ	flgC
flgBCDEFGHIJ	flgD
flgBCDEFGHIJ	flgE
flgBCDEFGHIJ	flgF
flgBCDEFGHIJ	flgG
flgBCDEFGHIJ	flgH
flgBCDEFGHIJ	flgI
flgBCDEFGHIJ	flgJ
flgKL	flgK
flgKL	flgL
flhBAE	flhB
flhBAE	flhA
flhBAE	flhE
flhC	flhC
flhDC	flhD
flhDC	flhC
fliAZY	fliA
fliAZY	fliZ
fliAZY	fliY
fliY	fliY
fliC	fliC
fliDST	fliD
fliDST	fliS
fliDST	fliT
fliE	fliE
fliFGHIJK	fliF
fliFGHIJK	fliG
fliFGHIJK	fliH
fliFGHIJK	fliI
fliFGHIJK	fliJ
fliFGHIJK	fliK
fliLMNOPQR	fliL
fliLMNOPQR	fliM
fliLMNOPQR	fliN
fliLMNOPQR	fliO
fliLMNOPQR	fliP
fliLMNOPQR	fliQ
fliLMNOPQR	fliR
flk	flk
flu	flu
flxA	flxA
fnr	fnr
fnrS	fnrS
focA-pflB	focA
focA-pflB	pflB
pflB	pflB
folA	folA
folB	folB
dedD	dedD
folC-dedD	folC
folC-dedD	dedD
folD-ybcJ	folD
folD-ybcJ	ybcJ
ybcJ	ybcJ
folE-yeiB	folE
folE-yeiB	yeiB
yeiB	yeiB
folP-glmM	folP
folP-glmM	glmM
folX-yfcH	folX
folX-yfcH	yfcH
fpr	fpr
frdABCD	frdA
frdABCD	frdB
frdABCD	frdC
frdABCD	frdD
frdD	frdD
fre	fre
frlABCDR	frlA
frlABCDR	frlB
frlABCDR	frlC
frlABCDR	frlD
frlABCDR	frlR
frmRAB	frmR
frmRAB	frmA
frmRAB	frmB
frr	frr
frsA	frsA
fruBKA	fruB
fruBKA	fruK
fruBKA	fruA
frvABXR	frvA
frvABXR	frvB
frvABXR	frvX
frvABXR	frvR
frvR	frvR
frwCB	frwC
frwCB	frwB
frwD	frwD
fryA	fryA
fryBC-ypdFE-fryA	fryB
fryBC-ypdFE-fryA	fryC
fryBC-ypdFE-fryA	ypdF
fryBC-ypdFE-fryA	ypdE
fryBC-ypdFE-fryA	fryA
fsaA	fsaA
fsr	fsr
ftnA	ftnA
ftnB	ftnB
ftsB	ftsB
ftsK	ftsK
ftsP	ftsP
ftsX	ftsX
ftsYEX	ftsY
ftsYEX	ftsE
ftsYEX	ftsX
fucAO	fucA
fucAO	fucO
fucPIKUR	fucP
fucPIKUR	fucI
fucPIKUR	fucK
fucPIKUR	fucU
fucPIKUR	fucR
fucR	fucR
fumA	fumA
fumAC	fumA
fumAC	fumC
fumC	fumC
fxsA	fxsA
gadAX	gadA
gadAX	gadX
gadW	gadW
gadX	gadX
gadXW	gadX
gadXW	gadW
gadBC	gadB
gadBC	gadC
gadC	gadC
gadE	gadE
gadE-mdtEF	gadE
gadE-mdtEF	mdtE
gadE-mdtEF	mdtF
mdtEF	mdtE
mdtEF	mdtF
gadY	gadY
galETKM	galE
galETKM	galT
galETKM	galK
galETKM	galM
galM	galM
galF	galF
galP	galP
galR	galR
galS	galS
galU	galU
gapA	gapA
gapA-yeaD	gapA
gapA-yeaD	yeaD
yeaD	yeaD
gapC_1C_2	gapC_1
gapC_1C_2	gapC_2
garD	garD
garPLRK-rnpB	garP
garPLRK-rnpB	garL
garPLRK-rnpB	garR
garPLRK-rnpB	garK
garPLRK-rnpB	rnpB
