Operon	TU
torT	torT
torR	torR
torCAD	torCAD
cbpAM	cbpAM
cbpAM	cbpAM
cbpAM	cbpAM
cbpAM	cbpAM
agp	agp
wrbA-yccJ	wrbA-yccJ
rutABCDEFG	rutG
rutABCDEFG	rutABCDEFG
rutR	rutR
rutR	rutR
putA	putA
putP	putP
putP	putP
putP	putP
putP	putP
putP	putP
efeU_1U_2	efeU_1U_2
efeOB	efeOB
efeOB	efeOB
phoH	phoH
phoH	phoH
pgaABCD	pgaABCD
ycdT	ycdT
insEF-4E-4F-4	insEF-4F-4
insEF-4E-4F-4	insEF-4F-4
ymdE-ycdU	ycdU
ymdE-ycdU	ycdU
ymdE-ycdU	ycdU
serX	serX
ghrA	ghrA
ycdZ	ycdZ
csgDEFG	csgG
csgDEFG	csgDEFG
csgDEFG	csgDEFG
csgBAC	csgBAC
ymdA	ymdA
ymdA	ymdA
ymdA	ymdA
ymdB-clsC	ymdB-clsC
ymdB-clsC	ymdB-clsC
ymdB-clsC	clsC
opgGH	opgGH
opgGH	opgGH
msyB	msyB
lpxL	lpxL
yceA	yceA
yceJI	yceI
yceJI	yceJI
solA-yceO	yceO
solA-yceO	yceO
solA-yceO	yceO
solA-yceO	solA-yceO
bssS	bssS
bssS	bssS
bssS	bssS
dinI	dinI
pyrC	pyrC
grxB	grxB
grxB	grxB
grxB	grxB
rimJ	rimJ
yceH	yceH
yceH	yceH
yceM	yceM
flgAMN	flgN
flgAMN	flgMN
flgAMN	flgAMN
flgBCDEFGHIJ	flgBCDEFGHIJ
flgKL	flgKL
yceQ	yceQ
rne	rne
rne	rne
rne	rne
rne	rne
sraB	sraB
yceF	yceF
yceF	yceF
yceD-rpmF-plsX-fabHDG-acpP-fabF	yceD-rpmF
yceF	yceF
yceF	yceF
yceD-rpmF-plsX-fabHDG-acpP-fabF	yceD-rpmF
yceD-rpmF-plsX-fabHDG-acpP-fabF	rpmF-plsX-fabHDG
yceD-rpmF-plsX-fabHDG-acpP-fabF	fabHDG
yceD-rpmF-plsX-fabHDG-acpP-fabF	acpP-fabF
yceD-rpmF-plsX-fabHDG-acpP-fabF	acpP
pabC-yceG-tmk-holB-ycfH	pabC-yceG-tmk-holB-ycfH
pabC-yceG-tmk-holB-ycfH	pabC-yceG-tmk-holB-ycfH
pabC-yceG-tmk-holB-ycfH	pabC-yceG-tmk-holB-ycfH
ptsG	ptsG
ptsG	ptsG
fhuE	fhuE
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinT-ycfL-lpoB-thiK-nagZ-ycfP
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinT-ycfL-lpoB-thiK-nagZ-ycfP
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinT-ycfL-lpoB-thiK-nagZ-ycfP
ndh	ndh
ycfJ	ycfJ
comR	comR
comR	comR
bhsA	bhsA
bhsA	bhsA
bhsA	bhsA
ycfS	ycfS
mfd	mfd
mfd	mfd
ycfT	ycfT
ycfT	ycfT
lolCDE	lolCDE
lolCDE	lolCDE
nagK-cobB	nagK-cobB
ymfA-ycfZ	ycfZ
ymfA-ycfZ	ycfZ
potABCD	potD
potABCD	potD
pepT	pepT
ycfD	ycfD
ycfD	ycfD
phoPQ	phoQ
phoPQ	phoPQ
phoPQ	phoPQ
phoPQ	phoPQ
hflD-purB	hflD-purB
rluE-nudJ	nudJ
icd	icd
icd	icd
ymfED	ymfD
ymfED	ymfD
ymfED	ymfD
lit	lit
lit	lit
lit	lit
ymfI	ymfI
ymfJ	ymfJ
ymfJ	ymfJ
ymfJ	ymfJ
ymfJ	ymfJ
ymfTLMNROPQ-ycfK-ymfS	ymfTLMNROPQ-ycfK-ymfS
ymfK	ymfK
ymfTLMNROPQ-ycfK-ymfS	ymfTLMNROPQ-ycfK-ymfS
ymfK	ymfK
ymfK	ymfK
stfE-tfaE	tfaE
stfE-tfaE	tfaE
pinE	pinE
pinE	pinE
mcrA	mcrA
mcrA	mcrA
mcrA	mcrA
mcrA	mcrA
iraM	iraM
iraM	iraM
ycgX	ycgX
ycgX	ycgX
bluR	bluR
bluF	bluF
bluF	bluF
ycgZ-ymgA-ariR-ymgC	ycgZ-ymgA-ariR-ymgC
ycgG	ycgG
ymgF	ymgF
ymgF	ymgF
ymgF	ymgF
ymgF	ymgF
minCDE	minE
ycgJ	ycgJ
ycgL	ycgL
ycgN	ycgN
ycgN	ycgN
ycgN	ycgN
hlyE	hlyE
umuDC	umuDC
dsbB	dsbB
nhaB	nhaB
fadR	fadR
fadR	fadR
ycgB	ycgB
dadAX	dadAX
dadAX	dadAX
dadAX	dadAX
cvrA	cvrA
emtA	emtA
ldcA	ldcA
ymgE	ymgE
ycgR	ycgR
ymgE	ymgE
ycgY	ycgY
ycgY	ycgY
treA	treA
dhaKLM	dhaKLM
dhaR	dhaR
ycgV	ycgV
ycgV	ycgV
pth-ychF	ychF
pth-ychF	pth-ychF
ychH	ychH
lolB-ispE-prs	prs
lolB-ispE-prs	lolB-ispE-prs
hemA-prfA-prmC	hemA
hemA-prfA-prmC	hemA-prfA-prmC
ychQA-kdsA	ychQA-kdsA
ychQA-kdsA	kdsA
rdlA	rdlA
ldrA	ldrA
rdlB	rdlB
