TU	Promoter
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ftsLp2
ftsP	ftsPp1
ftsP	ftsPp2
ftsQAZ	ftsQp1
ftsQ	ftsQp2
ftsX	ftsXp3
ftsX	ftsXp4
ftsZ	ftsZp2
ftsZ	ftsZp3
ftsZ	ftsZp4
fucAO	fucAp
fucPIKUR	fucPp
fucR	fucRp
fumA	fumAp
fumAC	fumAp
fumB	fumBp
fumC	fumCp
fumC	fumCp1
fur	furpa
fur	furpb
fusA-tufA	fusAp
fxsA	fxsAp
gabDTP	gabDp1
gabDTP	gabDp2
gadAX	gadAp
gadBC	gadBp
gadC	gadCp1
gadC	gadCp5
gadC	gadCp6
gadE-mdtEF	gadEp
gadE	gadEp1
gadE	gadEp2
gadE	gadEp3
gadE-mdtEF	gadEp4
gadW	gadWp1
gadW	gadWp2
gadX	gadXp
gadXW	gadXp
gadY	gadYp
galETKM	galEp1
galETKM	galEp2
galETKM	galEp3
galF	galFp
galM	galMp4
galP	galPp
galR	galRp
galS	galSp
galU	galUp
gapA	gapAp1
gapA-yeaD	gapAp2
gapA	gapAp3
gapA	gapAp4
gapA	gapAp6
gapA	gapAp7
garD	garDp
garPLRK-rnpB	garPp
gatR_2	gatR_2p
gatYZABCD	gatYp
gatZABCD	gatZp
gcd	gcdp1
gcd	gcdp2
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	gclp
gcvA	gcvAp
gcvB	gcvBp
gcvP	gcvPp
gcvR	gcvRp
gcvTHP	gcvTp
gdhA	gdhAp1
gfcA	gfcAp1
gfcD	gfcDp3
ghoST	ghoSp
ghrA	ghrAp6
ghrB	ghrBp2
glcA	glcAp10
glcA	glcAp12
glcBA	glcBp
glcC	glcCp
glcDEFGBA	glcDp
gldA	gldAp4
glgAP	glgAp
glgBXCAP	glgBp
glgCAP	glgCp1
glgCAP	glgCp2
glgCAP	glgCp3
glgP	glgPp1
glgS	glgSp1
glgS	glgSp2
glgXCAP	glgXp3
glk	glkp
glk	glkp1
glmS	glmSp2
glmUS	glmUp1
glmUS	glmUp2
glmY	glmYp1
glmY	glmYp2
glmZ	glmZp
glnA	glnAp1
glnALG	glnAp1
glnA	glnAp2
glnALG	glnAp2
glnB	glnBp1
glnB	glnBp2
glnB	glnBp3
glnD	glnDp
glnE	glnEp1
glnE	glnEp5
glnE	glnEp6
glnE	glnEp7
glnHPQ	glnHp1
glnHPQ	glnHp2
glnK-amtB	glnKp
glnLG	glnLp
glnQ	glnQp
glnS	glnSp1
glnS	glnSp2
glnW-metU-glnVX	glnWp
gloA	gloAp
gloB	gloBp5
glpABC	glpABCp
glpD	glpDp
glpEGR	glpEp
glpFKX	glpFp
glpGR	glpGp
glpR	glpRp1
glpR	glpRp2
glpTQ	glpTQp
glpX	glpXp2
glrK	glrKp
gltA	gltAp1
gltA	gltAp2
gltBDF	gltBp
gltI-sroC-gltJKL	gltIp
gltI-sroC-gltJKL	gltIp1
gltP	gltPp1
gltP	gltPp6
gltP	gltPp8
gltS	gltSp3
