TU	BindingSite
rpoH	ECK120013396
rpoH	ECK125108605
rpoH	ECK125108605
rpoH	ECK125108605
udp	ECK125108590
udp	ECK125108588
udp	ECK120013078
cytR	ECK125108603
cytR	ECK120016528
cytR	ECK125108601
deoCABD	ECK125108609
deoCABD	ECK120013557
deoCABD	ECK120012675
ttdR	ECK120011222
ttdABT	ECK125109305
ttdABT	ECK125109303
ttdABT	ECK125109301
ttdABT	ECK125109299
ttdABT	ECK125109294
dpiBA	ECK125141268
dpiBA	ECK125141266
dctA	ECK120011352
dcuB-fumB	ECK120011976
dcuB-fumB	ECK120035052
frdABCD	ECK120011350
nupG	ECK120011222
tsx	ECK120013435
deoCABD	ECK120012670
deoCABD	ECK120012681
deoCABD	ECK120012666
deoCABD	ECK120012668
deoCABD	ECK120012679
deoCABD	ECK120012677
dhaR	ECK120011222
dhaKLM	ECK120011222
dicB-ydfDE-insD-intQ	ECK120011222
dicC-ydfXW	ECK125158274
dinJ-yafQ	ECK125141207
cspE	ECK125141205
aldA	ECK120011906
nrdAB-yfaE	ECK120012826
nrdAB-yfaE	ECK120012828
nrdAB-yfaE	ECK125110185
guaBA	ECK120013942
rpoH	ECK120012945
rpoH	ECK120013381
rpoH	ECK120013381
dnaAN-recF	ECK125158279
dnaAN-recF	ECK125158281
dnaAN-recF	ECK120014050
dnaAN-recF	ECK120014050
dnaAN-recF	ECK125158277
dnaAN-recF	ECK125158283
polA	ECK120014073
yjeV	ECK120051326
yjeV	ECK120051328
mdh	ECK120011222
mdh	ECK120011222
exuT	ECK120011222
exuT	ECK120011222
appY	ECK120011222
dpiBA	ECK125109468
citCDEFXG	ECK125109468
citCDEFXG	ECK125109468
citCDEFXG	ECK125141254
citCDEFXG	ECK125141254
dpiBA	ECK125141254
citCDEFXG	ECK125141256
citCDEFXG	ECK125141256
dpiBA	ECK125141256
dsdXA	ECK120011222
dsdA	ECK120011222
dsdC	ECK120011222
ebgAC	ECK120011222
acrAB	ECK120018491
ompC	ECK120011222
ompF	ECK120011222
gadE-mdtEF	ECK120011222
safA-ydeO	ECK120033915
ydeP	ECK120033917
yegRZ	ECK120048907
evgAS	ECK120015622
evgAS	ECK120015622
emrKY	ECK120015622
frc	ECK120033919
yfdX-frc-oxc-yfdVE	ECK120051344
yfdX-frc-oxc-yfdVE	ECK120033923
acrD	ECK120019281
uxaB	ECK125134896
uxaCA	ECK125145820
exuT	ECK120048930
uxaCA	ECK120048930
uxaCA	ECK125145818
exuT	ECK120049006
uxaCA	ECK120049006
exuR	ECK120018520
uxuAB	ECK120018507
uxuAB	ECK120018518
uxuR	ECK120018521
garPLRK-rnpB	ECK120011222
rplM-rpsI	ECK120011222
gcvTHP	ECK120011222
fdhF	ECK120011222
sdhCDAB-sucABCD	ECK120011222
sucAB	ECK120011222
sucABCD	ECK120011222
fumA	ECK120011222
fumAC	ECK120011222
pstS	ECK120011222
pstSCA	ECK120011222
pstSCAB-phoU	ECK120011222
ssuEADCB	ECK120011222
rpsP-rimM-trmD-rplS	ECK120011222
ackA	ECK120011222
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	ECK120011222
aceEF	ECK120011222
rplT	ECK120011222
rplT-pheM	ECK120011222
uxaCA	ECK120011222
xdhABC	ECK120011222
emrKY	ECK120011222
tar-tap-cheRBYZ	ECK120011222
pitA	ECK120011222
pepT	ECK120011222
yecR	ECK120011222
bcsBZ	ECK120011222
acrEF	ECK120011222
dcuSR	ECK120011222
ygbA	ECK120011222
ysgA	ECK120011222
yqjI	ECK120011222
iraD	ECK120011222
ychO	ECK120011222
ompW	ECK120011222
ompX	ECK120011222
ytfE	ECK120011222
gnd	ECK120011222
fumC	ECK120011222
soxR	ECK120011222
soxS	ECK120011222
nac	ECK120011222
glnK-amtB	ECK120011222
aspC	ECK120011222
glnD	ECK120011222
zwf	ECK120011222
gdhA	ECK120011222
lpd	ECK120011222
caiF	ECK120013725
caiTABCDE	ECK120017039
fixABCX	ECK120020662
caiTABCDE	ECK120020662
pdhR-aceEF-lpd	ECK120013694
cyoABCDE	ECK120020710
fes-ybdZ-entF-fepE	ECK120020665
ybdN	ECK120051414
ybdN	ECK120051416
dpiBA	ECK125141262
citCDEFXG	ECK125141262
dcuC	ECK120011366
dcuC	ECK120011368
dcuC	ECK120011370
cydAB	ECK120011609
cydAB	ECK120011609
cydAB	ECK120011609
cydAB	ECK120011609
cydAB	ECK120011600
cydAB	ECK120011600
cydAB	ECK120011600
cydAB	ECK120011600
moaABCDE	ECK120011231
moeAB	ECK120011878
hcp-hcr	ECK120012587
cydDC	ECK120014158
dmsABC	ECK120012683
focA-pflB	ECK120013308
focA-pflB	ECK120013310
ndh	ECK120013527
ndh	ECK120013106
iraM	ECK120051418
hlyE	ECK120016211
hemA-prfA-prmC	ECK120011886
narXL	ECK120013690
narXL	ECK120013717
narK	ECK120014024
narXL	ECK120013692
narK	ECK120012818
narGHJI	ECK120012808
adhE	ECK120014001
