TU	Gene
gapC_1C_2	gapC_1,gapC_2
garD	garD
garPLRK-rnpB	garP,garL,garR,garK,rnpB
rnpB	rnpB
gatR_1	gatR_1
gatR_2	gatR_2
gatYZABCD	gatY,gatZ,gatA,gatB,gatC,gatD
gatZABCD	gatZ,gatA,gatB,gatC,gatD
gcd	gcd
gcd	gcd
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	gcl,hyi,glxR,ybbW,allB,ybbY,glxK
glxK	glxK
ybbY-glxK	ybbY,glxK
gcvA	gcvA
gcvB	gcvB
gcvR	gcvR
gcvP	gcvP
gcvTHP	gcvT,gcvH,gcvP
gdhA	gdhA
gfcA	gfcA
gfcBCD	gfcB,gfcC,gfcD
gfcD	gfcD
etk	etk
gfcE-etp-etk	gfcE,etp,etk
ggt	ggt
ghoST	ghoS,ghoT
ghoST	ghoS,ghoT
ghrA	ghrA
ghrB	ghrB
ghxP	ghxP
ghxP	ghxP
ghxP	ghxP
ghxP	ghxP
glcC	glcC
glcA	glcA
glcA	glcA
glcBA	glcB,glcA
glcDEFGBA	glcD,glcE,glcF,glcG,glcB,glcA
glf-wbbH	glf,wbbH
wbbH	wbbH
wbbH	wbbH
wbbH	wbbH
wbbH	wbbH
glgAP	glgA,glgP
glgBXCAP	glgB,glgX,glgC,glgA,glgP
glgCAP	glgC,glgA,glgP
glgCAP	glgC,glgA,glgP
glgCAP	glgC,glgA,glgP
glgP	glgP
glgXCAP	glgX,glgC,glgA,glgP
glgS	glgS
glgS	glgS
glk	glk
glk	glk
glmS	glmS
glmUS	glmU,glmS
glmUS	glmU,glmS
glmY	glmY
glmY	glmY
glmZ	glmZ
glnA	glnA
glnA	glnA
glnALG	glnA,glnL,glnG
glnALG	glnA,glnL,glnG
glnLG	glnL,glnG
glnHPQ	glnH,glnP,glnQ
glnHPQ	glnH,glnP,glnQ
glnQ	glnQ
glnK-amtB	glnK,amtB
glnS	glnS
glnS	glnS
gloB	gloB
glpABC	glpA,glpB,glpC
glpD	glpD
glpEGR	glpE,glpG,glpR
glpGR	glpG,glpR
glpR	glpR
glpR	glpR
glpFKX	glpF,glpK,glpX
glpX	glpX
glpTQ	glpT,glpQ
glrK	glrK
glnB	glnB
glnB	glnB
glnB	glnB
glrR	glrR
glrR-glnB	glrR,glnB
gltA	gltA
gltA	gltA
gltBDF	gltB,gltD,gltF
gltI-sroC-gltJKL	gltI,sroC,gltJ,gltK,gltL
gltI-sroC-gltJKL	gltI,sroC,gltJ,gltK,gltL
gltP	gltP
gltP	gltP
gltP	gltP
gltS	gltS
gltX	gltX
gltX	gltX
gltX	gltX
glvCBG-ysdC	glvC,glvB,glvG,ysdC
glyA	glyA
glyQS	glyQ,glyS
glyS	glyS
glyU	glyU
glyU	glyU
glyVXY	glyV,glyX,glyY
cysT-leuZ	cysT,leuZ
glyW-cysT-leuZ	glyW,cysT,leuZ
gmhB	gmhB
gmk	gmk
gmr	gmr
gnd	gnd
gnsB	gnsB
gntP	gntP
gntK	gntK
gntKU	gntK,gntU
gntR	gntR
gntR	gntR
gntR	gntR
gntRKU	gntR,gntK,gntU
gntU	gntU
gntT	gntT
gntT	gntT
gntT	gntT
gntX-nfuA	gntX,nfuA
nfuA	nfuA
nfuA	nfuA
gor	gor
gor	gor
gpmA	gpmA
gpmA	gpmA
gpmM-envC-yibQ	gpmM,envC,yibQ
gpmM-envC-yibQ	gpmM,envC,yibQ
gpp	gpp
gpt	gpt
gpt	gpt
grcA	grcA
greA	greA
greA	greA
greB	greB
greB	greB
groL	groL
groL	groL
groL	groL
groSL	groS,groL
grpE	grpE
grxA	grxA
grxB	grxB
grxB	grxB
grxB	grxB
grxC	grxC
grxD	grxD
gshA	gshA
gsk	gsk
gspAB	gspA,gspB
gspAB	gspA,gspB
gspAB	gspA,gspB
gspAB	gspA,gspB
gspCDEFGHIJKLMO	gspC,gspD,gspE,gspF,gspG,gspH,gspI,gspJ,gspK,gspL,gspM,gspO
gspCDEFGHIJKLMO	gspC,gspD,gspE,gspF,gspG,gspH,gspI,gspJ,gspK,gspL,gspM,gspO
gspCDEFGHIJKLMO	gspC,gspD,gspE,gspF,gspG,gspH,gspI,gspJ,gspK,gspL,gspM,gspO
gss	gss
gstA	gstA
gstB	gstB
guaBA	guaB,guaA
guaC	guaC
gudD	gudD
gudPXD	gudP,gudX,gudD
gyrA	gyrA
gyrB	gyrB
hcaEFCBD	hcaE,hcaF,hcaC,hcaB,hcaD
hcaR	hcaR
hcaT	hcaT
hcaT	hcaT
hcaT	hcaT
hchA	hchA
hchA	hchA
hcp-hcr	hcp,hcr
hcp-hcr	hcp,hcr
hcr	hcr
hda	hda
hdeAB-yhiD	hdeA,hdeB,yhiD
yhiD	yhiD
yhiD	yhiD
hdeD	hdeD
hdfR	hdfR
hdfR	hdfR
hdhA	hdhA
helD	helD
hemA	hemA
hemA-prfA-prmC	hemA,prfA,prmC
hemB	hemB
hemCDXY	hemC,hemD,hemX,hemY
hemH	hemH
hemL	hemL
hemL	hemL
hemL	hemL
hemN	hemN
hepA	hepA
hepA-rluA	hepA,rluA
rluA	rluA
hflD-purB	hflD,purB
hicAB	hicA,hicB
higA	higA
higBA	higB,higA
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinT,ycfL,lpoB,thiK,nagZ,ycfP
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinT,ycfL,lpoB,thiK,nagZ,ycfP
hinT-ycfL-lpoB-thiK-nagZ-ycfP	hinT,ycfL,lpoB,thiK,nagZ,ycfP
hipBA	hipB,hipA
hisBHAFI	hisB,hisH,hisA,hisF,hisI
hisL	hisL
hisLGDCBHAFI	hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI
hisS	hisS
hlyE	hlyE
hmp	hmp
hns	hns
hofMNOP	hofM,hofN,hofO,hofP
hofQ	hofQ
hokA	hokA
hokB	hokB
hokE	hokE
holC	holC
holC-valS	holC,valS
valS	valS
valS	valS
